,frameNo,topLeft,bottomRight
0,234,"(757, 0)","(1095, 273)"
0,235,"(751, 0)","(1089, 273)"
0,235,"(751, 0)","(1089, 273)"
0,235,"(136, 149)","(474, 422)"
0,235,"(751, 0)","(1089, 273)"
0,235,"(751, 0)","(1089, 273)"
0,235,"(751, 0)","(1089, 273)"
0,236,"(743, 0)","(1081, 273)"
0,236,"(743, 0)","(1081, 273)"
0,236,"(137, 153)","(475, 426)"
0,236,"(743, 0)","(1081, 273)"
0,236,"(743, 0)","(1081, 273)"
0,236,"(743, 0)","(1081, 273)"
0,237,"(730, 0)","(1068, 273)"
0,237,"(730, 0)","(1068, 273)"
0,237,"(132, 157)","(470, 430)"
0,237,"(730, 0)","(1068, 273)"
0,237,"(730, 0)","(1068, 273)"
0,237,"(730, 0)","(1068, 273)"
0,238,"(715, 0)","(1053, 273)"
0,238,"(715, 0)","(1053, 273)"
0,238,"(104, 148)","(442, 421)"
0,238,"(715, 0)","(1053, 273)"
0,238,"(715, 0)","(1053, 273)"
0,238,"(715, 0)","(1053, 273)"
0,239,"(707, 0)","(1045, 273)"
0,239,"(707, 0)","(1045, 273)"
0,239,"(5, 111)","(343, 384)"
0,239,"(707, 0)","(1045, 273)"
0,239,"(707, 0)","(1045, 273)"
0,239,"(707, 0)","(1045, 273)"
0,240,"(702, 0)","(1040, 273)"
0,240,"(702, 0)","(1040, 273)"
0,240,"(1, 112)","(339, 385)"
0,240,"(702, 0)","(1040, 273)"
0,240,"(702, 0)","(1040, 273)"
0,240,"(702, 0)","(1040, 273)"
0,241,"(694, 0)","(1032, 273)"
0,241,"(694, 0)","(1032, 273)"
0,241,"(48, 135)","(386, 408)"
0,241,"(694, 0)","(1032, 273)"
0,241,"(694, 0)","(1032, 273)"
0,241,"(694, 0)","(1032, 273)"
0,242,"(679, 0)","(1017, 273)"
0,242,"(679, 0)","(1017, 273)"
0,242,"(8, 123)","(346, 396)"
0,242,"(679, 0)","(1017, 273)"
0,242,"(679, 0)","(1017, 273)"
0,242,"(679, 0)","(1017, 273)"
0,243,"(671, 0)","(1009, 273)"
0,243,"(671, 0)","(1009, 273)"
0,243,"(112, 170)","(450, 443)"
0,243,"(671, 0)","(1009, 273)"
0,243,"(671, 0)","(1009, 273)"
0,243,"(671, 0)","(1009, 273)"
0,244,"(669, 0)","(1009, 275)"
0,244,"(669, 0)","(1009, 275)"
0,244,"(78, 153)","(418, 428)"
0,244,"(669, 0)","(1009, 275)"
0,244,"(669, 0)","(1009, 275)"
0,244,"(669, 0)","(1009, 275)"
0,245,"(661, 0)","(1001, 275)"
0,245,"(661, 0)","(1001, 275)"
0,245,"(0, 117)","(340, 392)"
0,245,"(661, 0)","(1001, 275)"
0,245,"(661, 0)","(1001, 275)"
0,245,"(661, 0)","(1001, 275)"
0,246,"(648, 0)","(990, 277)"
0,246,"(648, 0)","(990, 277)"
0,246,"(100, 170)","(442, 447)"
0,246,"(648, 0)","(990, 277)"
0,246,"(648, 0)","(990, 277)"
0,246,"(648, 0)","(990, 277)"
0,247,"(629, 0)","(971, 277)"
0,247,"(629, 0)","(971, 277)"
0,247,"(29, 145)","(371, 422)"
0,247,"(629, 0)","(971, 277)"
0,247,"(629, 0)","(971, 277)"
